변환,전년동기대비증감률
"2010/01","55.6"
"2010/02","49.0"
"2010/03","56.3"
"2010/04","21.6"
"2010/05","8.7"
"2010/06","7.7"
"2010/07","5.3"
"2010/08","-4.1"
"2010/09","-4.6"
"2010/10","-8.9"
"2010/11","-2.4"
"2010/12","-2.1"
"2011/01","-3.8"
"2011/02","-3.8"
"2011/03","-13.7"
"2011/04","-11.5"
"2011/05","-8.2"
"2011/06","-11.8"
"2011/07","-11.3"
"2011/08","-13.6"
"2011/09","-13.5"
"2011/10","-10.8"
"2011/11","-9.2"
"2011/12","-13.7"
"2012/01","-13.8"
"2012/02","-7.9"
"2012/03","3.2"
"2012/04","5.4"
"2012/05","1.9"
"2012/06","-1.6"
"2012/07","-3.4"
"2012/08","1.7"
"2012/09","0.5"
"2012/10","-0.9"
"2012/11","-5.2"
"2012/12","-0.3"
"2013/01","4.8"
"2013/02","-0.5"
"2013/03","2.1"
"2013/04","-4.7"
"2013/05","-2.5"
"2013/06","4.3"
"2013/07","5.4"
"2013/08","5.2"
"2013/09","3.7"
"2013/10","7.7"
"2013/11","9.1"
"2013/12","9.5"
"2014/01","8.3"
"2014/02","8.0"
"2014/03","5.3"
"2014/04","8.0"
"2014/05","1.1"
"2014/06","2.9"
"2014/07","0.8"
"2014/08","2.4"
"2014/09","6.9"
"2014/10","-1.0"
"2014/11","-4.5"
"2014/12","-5.4"
"2015/01","-6.4"
"2015/02","-4.9"
"2015/03","-7.0"
"2015/04","-4.4"
"2015/05","0.9"
"2015/06","-8.6"
"2015/07","-4.5"
"2015/08","-4.9"
"2015/09","-4.5"
"2015/10","0.5"
"2015/11","3.2"
"2015/12","1.6"
"2016/01","-2.5"
"2016/02","-5.4"
"2016/03","-1.4"
"2016/04","-2.5"
"2016/05","-6.1"
"2016/06","0.5"
"2016/07","0.7"
"2016/08","0.4"
"2016/09","-1.0"
"2016/10","-3.1"
"2016/11","-10.1"
"2016/12","-8.8"
"2017/01","-7.4"
"2017/02","-4.0"
"2017/03","-3.6"
"2017/04","-0.5"
"2017/05","9.4"
"2017/06","13.4"
"2017/07","10.9"
"2017/08","8.5"
"2017/09","6.2"
"2017/10","7.5"
"2017/11","18.8"
"2017/12","19.2"
"2018/01","19.7"
"2018/02","16.3"
"2018/03","13.1"
"2018/04","6.8"
"2018/05","0.4"
"2018/06","-5.1"
"2018/07","-9.4"
"2018/08","-10.1"
"2018/09","-7.3"
"2018/10","-9.3"
"2018/11","-15.2"
"2018/12","-12.9"
"2019/01","-11.7"
"2019/02","-8.4"
"2019/03","-8.1"
"2019/04","-5.4"
"2019/05","-9.8"
"2019/06","-7.8"
"2019/07","-5.1"
"2019/08","-6.8"
"2019/09","-3.0"
"2019/10","-0.5"
"2019/11","5.6"
"2019/12","3.9"