Date,living,econ,living_log,living_lndiff,econ_log,econ_lndiff
2008-09-01,73.0,41.0,4.290459441148391,,3.713572066704308,
2008-10-01,70.0,30.0,4.248495242049359,-0.041964199099031596,3.4011973816621555,-0.3123746850421525
2008-11-01,73.0,30.0,4.290459441148391,0.041964199099031596,3.4011973816621555,0.0
2008-12-01,70.0,23.0,4.248495242049359,-0.041964199099031596,3.1354942159291497,-0.2657031657330058
2009-01-01,70.0,32.0,4.248495242049359,0.0,3.4657359027997265,0.33024168687057687
2009-02-01,77.0,39.0,4.343805421853684,0.09531017980432477,3.6635616461296463,0.19782574332991976
2009-03-01,69.0,36.0,4.23410650459726,-0.10969891725642444,3.58351893845611,-0.08004270767353638
2009-04-01,81.0,61.0,4.394449154672439,0.16034265007517945,4.110873864173311,0.5273549257172014
2009-05-01,85.0,91.0,4.442651256490317,0.04820210181787754,4.51085950651685,0.3999856423435384
2009-06-01,86.0,92.0,4.454347296253507,0.011696039763190669,4.5217885770490405,0.010929070532190721
2009-07-01,88.0,93.0,4.477336814478207,0.022989518224699523,4.532599493153256,0.010810916104215806
2009-08-01,94.0,111.0,4.543294782270004,0.06595796779179697,4.709530201312334,0.17693070815907763
2009-09-01,94.0,112.0,4.543294782270004,0.0,4.718498871295094,0.008968669982760247
2009-10-01,98.0,118.0,4.584967478670572,0.041672696400568476,4.770684624465665,0.05218575317057095
2009-11-01,94.0,106.0,4.543294782270004,-0.041672696400568476,4.663439094112067,-0.10724553035359818
2009-12-01,92.0,105.0,4.5217885770490405,-0.02150620522096336,4.653960350157523,-0.009478743954543845
2010-01-01,92.0,101.0,4.5217885770490405,0.0,4.61512051684126,-0.038839833316263395
2010-02-01,92.0,95.0,4.5217885770490405,0.0,4.553876891600541,-0.06124362524071891
2010-03-01,91.0,100.0,4.51085950651685,-0.010929070532190721,4.605170185988092,0.051293294387551036
2010-04-01,93.0,95.0,4.532599493153256,0.021739986636406528,4.553876891600541,-0.051293294387551036
2010-05-01,89.0,98.0,4.48863636973214,-0.043963123421116634,4.584967478670572,0.03109058707003154
2010-06-01,91.0,101.0,4.51085950651685,0.022223136784710107,4.61512051684126,0.030153038170687374
2010-07-01,92.0,102.0,4.5217885770490405,0.010929070532190721,4.624972813284271,0.009852296443011
2010-08-01,92.0,100.0,4.5217885770490405,0.0,4.605170185988092,-0.019802627296178876
2010-09-01,86.0,94.0,4.454347296253507,-0.06744128079553313,4.543294782270004,-0.06187540371808797
2010-10-01,89.0,91.0,4.48863636973214,0.034289073478632304,4.51085950651685,-0.03243527575315408
2010-11-01,90.0,93.0,4.499809670330265,0.01117330059812538,4.532599493153256,0.021739986636406528
2010-12-01,90.0,90.0,4.499809670330265,0.0,4.499809670330265,-0.032789822822991255
2011-01-01,91.0,87.0,4.51085950651685,0.011049836186584727,4.465908118654584,-0.03390155167568132
2011-02-01,88.0,81.0,4.477336814478207,-0.03352269203864289,4.394449154672439,-0.07145896398214457
2011-03-01,82.0,62.0,4.406719247264253,-0.07061756721395351,4.127134385045092,-0.26731476962734746
2011-04-01,83.0,73.0,4.418840607796598,0.012121360532344916,4.290459441148391,0.16332505610329928
2011-05-01,82.0,80.0,4.406719247264253,-0.012121360532344916,4.382026634673881,0.09156719352549025
2011-06-01,83.0,75.0,4.418840607796598,0.012121360532344916,4.31748811353631,-0.06453852113757108
2011-07-01,83.0,78.0,4.418840607796598,0.0,4.356708826689592,0.03922071315328157
2011-08-01,83.0,67.0,4.418840607796598,0.0,4.204692619390966,-0.15201620729862597
2011-09-01,80.0,61.0,4.382026634673881,-0.03681397312271706,4.110873864173311,-0.09381875521765437
2011-10-01,84.0,65.0,4.430816798843313,0.04879016416943216,4.174387269895637,0.06351340572232544
2011-11-01,85.0,72.0,4.442651256490317,0.011834457647003305,4.276666119016055,0.10227884912041851
2011-12-01,84.0,68.0,4.430816798843313,-0.011834457647003305,4.219507705176107,-0.05715841383994835
2012-01-01,83.0,65.0,4.418840607796598,-0.011976191046715101,4.174387269895637,-0.04512043528047016
2012-02-01,85.0,68.0,4.442651256490317,0.023810648693718406,4.219507705176107,0.04512043528047016
2012-03-01,84.0,70.0,4.430816798843313,-0.011834457647003305,4.248495242049359,0.028987536873252395
2012-04-01,85.0,76.0,4.442651256490317,0.011834457647003305,4.330733340286331,0.0822380982369717
2012-05-01,86.0,78.0,4.454347296253507,0.011696039763190669,4.356708826689592,0.02597548640326064
2012-06-01,86.0,72.0,4.454347296253507,0.0,4.276666119016055,-0.08004270767353638
2012-07-01,84.0,69.0,4.430816798843313,-0.023530497410193973,4.23410650459726,-0.04255961441879563
2012-08-01,85.0,67.0,4.442651256490317,0.011834457647003305,4.204692619390966,-0.029413885206293955
2012-09-01,79.0,62.0,4.3694478524670215,-0.07320340402329517,4.127134385045092,-0.07755823434587406
2012-10-01,84.0,68.0,4.430816798843313,0.061368946376291866,4.219507705176107,0.09237332013101529
2012-11-01,87.0,67.0,4.465908118654584,0.03509131981127034,4.204692619390966,-0.014815085785141235
2012-12-01,81.0,64.0,4.394449154672439,-0.07145896398214457,4.1588830833596715,-0.04580953603129423
2013-01-01,88.0,64.0,4.477336814478207,0.08288765980576773,4.1588830833596715,0.0
2013-02-01,86.0,69.0,4.454347296253507,-0.022989518224699523,4.23410650459726,0.07522342123758818
2013-03-01,87.0,71.0,4.465908118654584,0.011560822401076365,4.2626798770413155,0.028573372444055778
2013-04-01,88.0,73.0,4.477336814478207,0.011428695823623158,4.290459441148391,0.027779564107075494
2013-05-01,89.0,77.0,4.48863636973214,0.01129955525393278,4.343805421853684,0.05334598070529317
2013-06-01,87.0,80.0,4.465908118654584,-0.02272825107755594,4.382026634673881,0.03822121282019708
2013-07-01,90.0,81.0,4.499809670330265,0.03390155167568132,4.394449154672439,0.012422519998557924
2013-08-01,87.0,80.0,4.465908118654584,-0.03390155167568132,4.382026634673881,-0.012422519998557924
2013-09-01,84.0,75.0,4.430816798843313,-0.03509131981127034,4.31748811353631,-0.06453852113757108
2013-10-01,87.0,81.0,4.465908118654584,0.03509131981127034,4.394449154672439,0.076961041136129
2013-11-01,90.0,85.0,4.499809670330265,0.03390155167568132,4.442651256490317,0.04820210181787754
2013-12-01,90.0,82.0,4.499809670330265,0.0,4.406719247264253,-0.03593200922606332
2014-01-01,90.0,79.0,4.499809670330265,0.0,4.3694478524670215,-0.03727139479723185
2014-02-01,90.0,80.0,4.499809670330265,0.0,4.382026634673881,0.012578782206859707
2014-03-01,89.0,86.0,4.48863636973214,-0.01117330059812538,4.454347296253507,0.07232066157962613
2014-04-01,90.0,87.0,4.499809670330265,0.01117330059812538,4.465908118654584,0.011560822401076365
2014-05-01,89.0,73.0,4.48863636973214,-0.01117330059812538,4.290459441148391,-0.17544867750619275
2014-06-01,89.0,78.0,4.48863636973214,0.0,4.356708826689592,0.06624938554120074
2014-07-01,89.0,75.0,4.48863636973214,0.0,4.31748811353631,-0.03922071315328157
2014-08-01,90.0,81.0,4.499809670330265,0.01117330059812538,4.394449154672439,0.076961041136129
2014-09-01,92.0,81.0,4.5217885770490405,0.02197890671877545,4.394449154672439,0.0
2014-10-01,88.0,77.0,4.477336814478207,-0.04445176257083361,4.343805421853684,-0.050643732818755005
2014-11-01,87.0,70.0,4.465908118654584,-0.011428695823623158,4.248495242049359,-0.09531017980432477
2014-12-01,87.0,68.0,4.465908118654584,0.0,4.219507705176107,-0.028987536873252395
2015-01-01,88.0,74.0,4.477336814478207,0.011428695823623158,4.30406509320417,0.08455738802806323
2015-02-01,86.0,69.0,4.454347296253507,-0.022989518224699523,4.23410650459726,-0.06995858860691051
2015-03-01,87.0,71.0,4.465908118654584,0.011560822401076365,4.2626798770413155,0.028573372444055778
2015-04-01,88.0,74.0,4.477336814478207,0.011428695823623158,4.30406509320417,0.04138521616285473
2015-05-01,90.0,76.0,4.499809670330265,0.02247285585205816,4.330733340286331,0.026668247082160867
2015-06-01,87.0,60.0,4.465908118654584,-0.03390155167568132,4.0943445622221,-0.23638877806423064
2015-07-01,84.0,61.0,4.430816798843313,-0.03509131981127034,4.110873864173311,0.01652930195121094
2015-08-01,88.0,69.0,4.477336814478207,0.0465200156348935,4.23410650459726,0.12323264042394833
2015-09-01,88.0,72.0,4.477336814478207,0.0,4.276666119016055,0.04255961441879563
2015-10-01,89.0,78.0,4.48863636973214,0.01129955525393278,4.356708826689592,0.08004270767353638
2015-11-01,92.0,76.0,4.5217885770490405,0.03315220731690083,4.330733340286331,-0.02597548640326064
2015-12-01,90.0,76.0,4.499809670330265,-0.02197890671877545,4.330733340286331,0.0
2016-01-01,87.0,66.0,4.465908118654584,-0.03390155167568132,4.189654742026425,-0.14107859825990587
2016-02-01,84.0,63.0,4.430816798843313,-0.03509131981127034,4.143134726391533,-0.04652001563489261
2016-03-01,86.0,68.0,4.454347296253507,0.023530497410193973,4.219507705176107,0.07637297878457439
2016-04-01,87.0,72.0,4.465908118654584,0.011560822401076365,4.276666119016055,0.05715841383994835
2016-05-01,87.0,65.0,4.465908118654584,0.0,4.174387269895637,-0.10227884912041851
2016-06-01,87.0,66.0,4.465908118654584,0.0,4.189654742026425,0.015267472130788384
2016-07-01,88.0,68.0,4.477336814478207,0.011428695823623158,4.219507705176107,0.029852963149681777
2016-08-01,86.0,71.0,4.454347296253507,-0.022989518224699523,4.2626798770413155,0.0431721718652085
2016-09-01,87.0,69.0,4.465908118654584,0.011560822401076365,4.23410650459726,-0.028573372444055778
2016-10-01,89.0,68.0,4.48863636973214,0.02272825107755594,4.219507705176107,-0.01459879942115272
2016-11-01,83.0,54.0,4.418840607796598,-0.06979576193554138,3.9889840465642745,-0.23052365861183244
2016-12-01,84.0,53.0,4.430816798843313,0.011976191046715101,3.970291913552122,-0.018692133012152556
2017-01-01,87.0,49.0,4.465908118654584,0.03509131981127034,3.8918202981106265,-0.0784716154414955
2017-02-01,87.0,55.0,4.465908118654584,0.0,4.007333185232471,0.11551288712184471
2017-03-01,84.0,55.0,4.430816798843313,-0.03509131981127034,4.007333185232471,0.0
2017-04-01,85.0,65.0,4.442651256490317,0.011834457647003305,4.174387269895637,0.16705408466316563
2017-05-01,86.0,75.0,4.454347296253507,0.011696039763190669,4.31748811353631,0.14310084364067333
2017-06-01,90.0,85.0,4.499809670330265,0.04546237407675768,4.442651256490317,0.12516314295400655
2017-07-01,95.0,91.0,4.553876891600541,0.054067221270275745,4.51085950651685,0.06820825002653308
2017-08-01,90.0,89.0,4.499809670330265,-0.054067221270275745,4.48863636973214,-0.022223136784710107
2017-09-01,90.0,82.0,4.499809670330265,0.0,4.406719247264253,-0.0819171224678863
2017-10-01,92.0,86.0,4.5217885770490405,0.02197890671877545,4.454347296253507,0.04762804898925399
2017-11-01,93.0,95.0,4.532599493153256,0.010810916104215806,4.553876891600541,0.09952959534703343
2017-12-01,92.0,90.0,4.5217885770490405,-0.010810916104215806,4.499809670330265,-0.054067221270275745
2018-01-01,89.0,84.0,4.48863636973214,-0.03315220731690083,4.430816798843313,-0.06899287148695166
2018-02-01,91.0,83.0,4.51085950651685,0.022223136784710107,4.418840607796598,-0.011976191046715101
2018-03-01,92.0,82.0,4.5217885770490405,0.010929070532190721,4.406719247264253,-0.012121360532344916
2018-04-01,88.0,81.0,4.477336814478207,-0.04445176257083361,4.394449154672439,-0.012270092591814219
2018-05-01,90.0,86.0,4.499809670330265,0.02247285585205816,4.454347296253507,0.05989814158106821
2018-06-01,88.0,79.0,4.477336814478207,-0.02247285585205816,4.3694478524670215,-0.08489944378648584
2018-07-01,86.0,76.0,4.454347296253507,-0.022989518224699523,4.330733340286331,-0.03871451218069044
2018-08-01,84.0,66.0,4.430816798843313,-0.023530497410193973,4.189654742026425,-0.14107859825990587
2018-09-01,86.0,63.0,4.454347296253507,0.023530497410193973,4.143134726391533,-0.04652001563489261
2018-10-01,90.0,66.0,4.499809670330265,0.04546237407675768,4.189654742026425,0.04652001563489261
2018-11-01,87.0,59.0,4.465908118654584,-0.03390155167568132,4.07753744390572,-0.11211729812070548
2018-12-01,87.0,62.0,4.465908118654584,0.0,4.127134385045092,0.049596941139371964
2019-01-01,87.0,65.0,4.465908118654584,0.0,4.174387269895637,0.04725288485054513
2019-02-01,91.0,68.0,4.51085950651685,0.044951387862266046,4.219507705176107,0.04512043528047016
2019-03-01,89.0,66.0,4.48863636973214,-0.022223136784710107,4.189654742026425,-0.029852963149681777
2019-04-01,89.0,73.0,4.48863636973214,0.0,4.290459441148391,0.10080469912196577
2019-05-01,88.0,68.0,4.477336814478207,-0.01129955525393278,4.219507705176107,-0.07095173597228399
2019-06-01,89.0,67.0,4.48863636973214,0.01129955525393278,4.204692619390966,-0.014815085785141235
2019-07-01,87.0,64.0,4.465908118654584,-0.02272825107755594,4.1588830833596715,-0.04580953603129423
2019-08-01,87.0,61.0,4.465908118654584,0.0,4.110873864173311,-0.04800921918636014
2019-09-01,87.0,66.0,4.465908118654584,0.0,4.189654742026425,0.07878087785311383
2019-10-01,91.0,73.0,4.51085950651685,0.044951387862266046,4.290459441148391,0.10080469912196577
2019-11-01,90.0,71.0,4.499809670330265,-0.011049836186584727,4.2626798770413155,-0.027779564107075494
2019-12-01,89.0,73.0,4.48863636973214,-0.01117330059812538,4.290459441148391,0.027779564107075494
2020-01-01,90.0,75.0,4.499809670330265,0.01117330059812538,4.31748811353631,0.027028672387919173
2020-02-01,87.0,65.0,4.465908118654584,-0.03390155167568132,4.174387269895637,-0.14310084364067333
2020-03-01,79.0,38.0,4.3694478524670215,-0.0964602661875622,3.6375861597263857,-0.5368011101692511
2020-04-01,70.0,32.0,4.248495242049359,-0.12095261041766214,3.4657359027997265,-0.17185025692665912
2020-05-01,75.0,36.0,4.31748811353631,0.06899287148695077,3.58351893845611,0.11778303565638337
2020-06-01,81.0,44.0,4.394449154672439,0.076961041136129,3.784189633918261,0.2006706954621511
2020-07-01,82.0,49.0,4.406719247264253,0.012270092591814219,3.8918202981106265,0.10763066419236544
2020-08-01,80.0,51.0,4.382026634673881,-0.024692612590372143,3.9318256327243257,0.04000533461369926
2020-09-01,73.0,42.0,4.290459441148391,-0.09156719352549025,3.7376696182833684,-0.19415601444095731
2020-10-01,82.0,55.0,4.406719247264253,0.1162598061158624,4.007333185232471,0.26966356694910276
2020-11-01,85.0,66.0,4.442651256490317,0.03593200922606332,4.189654742026425,0.182321556793954
2020-12-01,82.0,52.0,4.406719247264253,-0.03593200922606332,3.9512437185814275,-0.23841102344499765
2021-01-01,82.0,52.0,4.406719247264253,0.0,3.9512437185814275,0.0
2021-02-01,81.0,60.0,4.394449154672439,-0.012270092591814219,4.0943445622221,0.14310084364067288
2021-03-01,83.0,67.0,4.418840607796598,0.024391453124159135,4.204692619390966,0.11034805716886531
2021-04-01,87.0,74.0,4.465908118654584,0.04706751085798544,4.30406509320417,0.09937247381320446
2021-05-01,89.0,79.0,4.48863636973214,0.02272825107755594,4.3694478524670215,0.06538275926285131
2021-06-01,92.0,88.0,4.5217885770490405,0.03315220731690083,4.477336814478207,0.10788896201118536
2021-07-01,87.0,78.0,4.465908118654584,-0.05588045839445677,4.356708826689592,-0.12062798778861517
2021-08-01,86.0,74.0,4.454347296253507,-0.011560822401076365,4.30406509320417,-0.05264373348542151
2021-09-01,87.0,73.0,4.465908118654584,0.011560822401076365,4.290459441148391,-0.013605652055779238
2021-10-01,88.0,76.0,4.477336814478207,0.011428695823623158,4.330733340286331,0.040273899137940106
2021-11-01,87.0,75.0,4.465908118654584,-0.011428695823623158,4.31748811353631,-0.013245226750020933
2021-12-01,88.0,73.0,4.477336814478207,0.011428695823623158,4.290459441148391,-0.027028672387919173
2022-01-01,86.0,70.0,4.454347296253507,-0.022989518224699523,4.248495242049359,-0.041964199099031596
2022-02-01,85.0,70.0,4.442651256490317,-0.011696039763190669,4.248495242049359,0.0
2022-03-01,84.0,65.0,4.430816798843313,-0.011834457647003305,4.174387269895637,-0.07410797215372256
2022-04-01,89.0,67.0,4.48863636973214,0.05781957088882628,4.204692619390966,0.030305349495328926
2022-05-01,85.0,68.0,4.442651256490317,-0.04598511324182297,4.219507705176107,0.014815085785141235
2022-06-01,82.0,60.0,4.406719247264253,-0.03593200922606332,4.0943445622221,-0.12516314295400655
2022-07-01,81.0,44.0,4.394449154672439,-0.012270092591814219,3.784189633918261,-0.3101549283038394
2022-08-01,80.0,49.0,4.382026634673881,-0.012422519998557924,3.8918202981106265,0.10763066419236544
2022-09-01,81.0,53.0,4.394449154672439,0.012422519998557924,3.970291913552122,0.0784716154414955
2022-10-01,82.0,51.0,4.406719247264253,0.012270092591814219,3.9318256327243257,-0.03846628082779624
2022-11-01,83.0,48.0,4.418840607796598,0.012121360532344916,3.871201010907891,-0.060624621816434576
2022-12-01,83.0,55.0,4.418840607796598,0.0,4.007333185232471,0.13613217432458002
2023-01-01,82.0,53.0,4.406719247264253,-0.012121360532344916,3.970291913552122,-0.03704127168034921
2023-02-01,81.0,48.0,4.394449154672439,-0.012270092591814219,3.871201010907891,-0.09909090264423082
2023-03-01,84.0,53.0,4.430816798843313,0.036367644170874236,3.970291913552122,0.09909090264423082
2023-04-01,87.0,62.0,4.465908118654584,0.03509131981127034,4.127134385045092,0.1568424714929697
2023-05-01,90.0,66.0,4.499809670330265,0.03390155167568132,4.189654742026425,0.06252035698133351
2023-06-01,89.0,70.0,4.48863636973214,-0.01117330059812538,4.248495242049359,0.05884050002293417
2023-07-01,90.0,75.0,4.499809670330265,0.01117330059812538,4.31748811353631,0.06899287148695077
2023-08-01,89.0,73.0,4.48863636973214,-0.01117330059812538,4.290459441148391,-0.027028672387919173
2023-09-01,87.0,66.0,4.465908118654584,-0.02272825107755594,4.189654742026425,-0.10080469912196577
2023-10-01,88.0,64.0,4.477336814478207,0.011428695823623158,4.1588830833596715,-0.030771658666753687
2023-11-01,87.0,61.0,4.465908118654584,-0.011428695823623158,4.110873864173311,-0.04800921918636014
2023-12-01,87.0,66.0,4.465908118654584,0.0,4.189654742026425,0.07878087785311383
2024-01-01,88.0,70.0,4.477336814478207,0.011428695823623158,4.248495242049359,0.05884050002293417
2024-02-01,87.0,69.0,4.465908118654584,-0.011428695823623158,4.23410650459726,-0.014388737452099676
2024-03-01,85.0,66.0,4.442651256490317,-0.023256862164267034,4.189654742026425,-0.0444517625708345
2024-04-01,87.0,63.0,4.465908118654584,0.023256862164267034,4.143134726391533,-0.04652001563489261
2024-05-01,88.0,64.0,4.477336814478207,0.011428695823623158,4.1588830833596715,0.01574835696813892
2024-06-01,87.0,65.0,4.465908118654584,-0.011428695823623158,4.174387269895637,0.015504186535965303
2024-07-01,91.0,73.0,4.51085950651685,0.044951387862266046,4.290459441148391,0.11607217125275415
2024-08-01,88.0,69.0,4.477336814478207,-0.03352269203864289,4.23410650459726,-0.05635293655113127
2024-09-01,87.0,69.0,4.465908118654584,-0.011428695823623158,4.23410650459726,0.0
2024-10-01,89.0,70.0,4.48863636973214,0.02272825107755594,4.248495242049359,0.014388737452099676
2024-11-01,90.0,70.0,4.499809670330265,0.01117330059812538,4.248495242049359,0.0
2024-12-01,85.0,52.0,4.442651256490317,-0.05715841383994835,3.9512437185814275,-0.2972515234679318
